,ID,players_turn,decision_consistency,coalition_suggestion,C0,C1,C2,C3,C4,C5,C6,S0,S1,S2,S3,S4,S5,S6,R0,R1,R2,R3,R4,R5,R6,round_num,CP,in_cp,Reward
3,6,1,1,0,0,1,2,3,4,2,4,1,1,1,1,0,0,0,0,1,2,3,4,2,4,2,-1,-1,1
4,6,0,1,1,0,1,2,3,4,2,4,1,1,0,0,0,0,0,0,0,1,2,3,1,3,2,-1,-1,1.5
5,6,1,0,0,0,0,1,2,3,1,3,1,1,1,1,0,0,0,0,0,1,2,3,1,3,3,-1,-1,1.5
6,6,1,0,1,0,0,1,2,3,1,3,1,1,0,1,0,0,0,0,0,1,2,3,1,3,4,-1,-1,1.5
7,6,1,0,1,0,0,1,2,3,1,3,1,1,0,0,0,1,0,0,0,1,2,3,1,3,5,-1,-1,1.5
8,6,2,2,2,0,0,1,1,2,1,2,0,0,0,0,0,0,0,0,0,1,1,2,1,2,8,-1,-1,1.5
2,7,1,1,0,0,1,2,3,4,5,6,1,1,0,0,1,0,1,0,1,2,3,4,5,6,1,-1,-1,1
3,7,0,1,1,0,1,2,3,4,5,6,1,1,0,0,0,0,0,0,0,1,2,3,4,5,1,-1,-1,1.5
4,7,1,1,1,0,0,1,2,3,4,5,1,0,0,0,0,0,1,0,0,1,2,3,4,5,2,-1,-1,1.5
5,7,0,1,0,0,0,1,2,3,4,5,1,0,1,0,0,0,0,0,0,1,2,3,4,5,3,-1,-1,1.5
6,7,0,1,0,0,0,1,2,3,4,5,1,0,0,0,0,1,0,0,0,1,2,3,4,5,4,-1,-1,1.5
7,7,2,2,2,0,0,1,1,2,1,3,0,0,0,0,0,0,0,0,0,1,1,2,1,3,16,-1,-1,1.5
2,8,1,1,0,0,1,2,3,4,5,6,1,1,1,1,1,1,1,0,1,2,3,4,5,6,1,-1,-1,1
3,8,1,1,0,0,1,2,3,4,2,5,1,1,1,1,1,1,1,0,1,2,3,4,2,5,2,-1,-1,1
4,8,1,1,0,0,1,2,3,4,2,5,1,1,0,1,1,0,1,0,1,2,3,4,2,5,3,-1,-1,1
5,8,0,1,1,0,1,2,3,4,2,5,1,0,0,1,0,0,0,0,1,2,0,3,2,4,3,-1,-1,1.5
6,8,1,1,0,0,1,2,2,3,2,4,1,0,0,1,1,0,1,0,1,2,2,3,2,4,4,-1,-1,1
7,8,1,1,0,0,1,2,2,3,2,4,1,1,0,0,1,0,1,0,1,2,2,3,2,4,5,-1,-1,1
8,8,1,1,0,0,1,2,2,3,2,4,1,0,1,1,1,0,1,0,1,2,2,3,2,4,6,-1,-1,1
9,8,0,1,1,0,1,2,2,3,2,4,1,0,1,1,0,1,0,0,1,0,0,2,0,3,6,-1,0,1.75
10,8,2,2,2,0,1,0,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,2,0,3,6,-1,0,1.75
2,9,1,1,1,0,1,2,3,4,5,6,1,0,0,0,0,0,1,0,1,2,3,4,5,6,1,-1,-1,1
3,9,0,1,0,0,1,2,3,4,5,6,1,0,0,0,0,1,0,0,1,2,3,4,5,6,1,-1,-1,1
4,9,0,1,1,0,1,2,3,4,5,6,1,1,0,0,0,0,0,0,0,1,2,3,4,5,1,-1,-1,1.5
5,9,1,1,1,0,0,1,2,3,4,5,1,1,0,0,1,0,0,0,0,1,2,3,4,5,2,-1,-1,1.5
6,9,1,1,1,0,0,1,2,3,1,4,1,1,0,0,0,0,1,0,0,1,2,3,1,4,3,-1,-1,1.5
7,9,1,1,1,0,0,1,2,3,1,4,1,1,0,0,1,0,0,0,0,1,2,3,1,4,4,-1,-1,1.5
8,9,1,1,1,0,0,1,2,3,1,3,1,0,0,0,0,0,1,0,0,1,2,3,1,3,5,-1,-1,1.5
9,9,2,2,2,0,0,1,1,2,1,2,0,0,0,0,0,0,0,0,0,1,1,2,1,2,8,-1,-1,1.5
